2026-01-25 00:13:32 | INFO | uvicorn.error | Started server process [2384]
2026-01-25 00:13:32 | INFO | uvicorn.error | Waiting for application startup.
2026-01-25 00:13:32 | INFO | app.db | DB configured.
2026-01-25 00:13:32 | INFO | app.redis | Redis configured.
2026-01-25 00:13:32 | INFO | app | Startup complete.
2026-01-25 00:13:32 | INFO | uvicorn.error | Application startup complete.
2026-01-25 00:13:32 | ERROR | uvicorn.error | [Errno 10048] error while attempting to bind on address ('127.0.0.1', 60633): only one usage of each socket address (protocol/network address/port) is normally permitted
2026-01-25 00:13:32 | INFO | uvicorn.error | Waiting for application shutdown.
2026-01-25 00:13:32 | INFO | app | Shutdown complete.
2026-01-25 00:13:32 | INFO | uvicorn.error | Application shutdown complete.
